"","stripped_cell_line_name","CCLE_Name","alias","COSMIC_ID","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","disease","disease_subtype","age","Sanger_model_ID","additional_info","ISG.score"
"ACH-000679","OE19","OE19_OESOPHAGUS","",910079,"esophagus","esophagus_squamous","laryngeal","","Male","HPACC",NA,NA,"","","","CVCL_1622","oesophagus","Primary","Esophageal Cancer","Squamous Cell Carcinoma",72,"SIDM00479","",2.49497368421053
"ACH-000680","SW948","SW948_LARGE_INTESTINE","",909757,"colorectal","colorectal_adenocarcinoma","","","Female","ATCC",1,-1.373528486,"Semi-adherent","RPMI-1640: 90.0%","37.6","CVCL_0632","Colon","Primary","Colon/Colorectal Cancer","Adenocarcinoma",81,"SIDM00832","",2.55160526315789
"ACH-000681","A549","A549_LUNG","",905949,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",4,-2.708370419,"Adherent","DMEM; 10% FBS","17.2","CVCL_0023","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",52,"SIDM00903","",2.36747368421053
"ACH-000682","SNU1066","SNU1066_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","","","Male","KCLB",2,-4.553417963,"Adherent","90% RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3 + 10% h.i. FBS","14.8","CVCL_5005","upper_aerodigestive_tract","","Head and Neck Cancer","Squamous Cell Carcinoma",62,"SIDM00170","",4.73402631578947
"ACH-000683","SNU503","SNU503_LARGE_INTESTINE","",NA,"colorectal","colorectal_adenocarcinoma","","","Male","KCLB",3,-4.29696393,"Adherent","RPMI;10% FBS;","22.8","CVCL_5071","abdomen","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",52,"SIDM00497","",3.00442105263158
"ACH-000684","KMRC1","KMRC1_KIDNEY","",1298168,"kidney","renal_cell_carcinoma","clear_cell","","Male","HSRRB",3,-1.975643555,"Adherent","DMEM;10% FBS;","21.6","CVCL_2983","kidney","Primary","Kidney Cancer","Renal Carcinoma, clear cell",NA,"SIDM00611","",3.02368421052632
"ACH-000685","L33","L33_PANCREAS","",NA,"pancreas","exocrine","exocrine_adenosquamous","","Female","Academic lab",2,-3.959597738,"Mixed Adherent and Suspension","DMEM 10% FBS; 1mM Sodium pyruvate; 1mM NEAA; 2mM glutamine","51.9","CVCL_8147","lymph_node","Metastasis","Pancreatic Cancer","Ductal Adenosquamous Carcinoma",NA,"","",2.98481578947368
"ACH-000686","SNU878","SNU878_LIVER","",NA,"liver","hepatocellular_carcinoma","","","Female","KCLB",NA,NA,"","","","CVCL_5102","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",54,"","",3.68605263157895
"ACH-000687","CI1","CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","non_hodgkin_lymphoma","b_cell","","Female","DSMZ",NA,NA,"","","","CVCL_1861","ascites","","Lymphoma","B-cell, Non-Hodgkins",38,"","",3.94231578947368
"ACH-000688","OV7","OV7_OVARY","",1480360,"ovary","ovary_adenocarcinoma","mixed_serous_clear_cell","","Female","ECACC",2,-2.862581708,"Adherent","DMEM:F12 (1:1); 5% FBS; 2mM L-glutamine; 0.5ug/ml hydrocortisone; 10ug/ml insulin","12.7","CVCL_2675","ovary","Primary","Ovarian Cancer","Adenocarcinoma, mixed",78,"SIDM00474","",3.44342105263158
"ACH-000689","RH18","RH18_SOFT_TISSUE","",971774,"soft_tissue","rhabdomyosarcoma","","","Female","DSMZ",NA,NA,"","","","CVCL_1659","soft_tissue","","Sarcoma","Rhabdomyosarcoma",2,"SIDM00454","",3.12694736842105
"ACH-000690","HCC2814","HCC2814_LUNG","",NA,"lung","NSCLC","NSCLC_squamous","","Male","Academic lab",NA,NA,"","","","CVCL_V586","lung","","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",NA,"","",2.42123684210526
"ACH-000691","HCC2157","HCC2157_BREAST","",749715,"breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_A","Female","ATCC",NA,NA,"","","","CVCL_1261","breast","Primary","Breast Cancer","Breast Ductal Carcinoma",48,"SIDM00774","",2.49728947368421
"ACH-000692","SNU899","SNU899_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","laryngeal","","Male","KCLB",NA,NA,"","","","CVCL_5105","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, laryngeal",56,"SIDM00169","",4.08126315789474
"ACH-000693","KYSE180","KYSE180_OESOPHAGUS","",907318,"esophagus","esophagus_squamous","","","Male","DSMZ",2,-5.414419742,"Adherent","RPMI; 10% FBS","32.1","CVCL_1349","oesophagus","Primary","Esophageal Cancer","Squamous Cell Carcinoma",53,"SIDM01030","",2.65055263157895
"ACH-000694","TE9","TE9_OESOPHAGUS","",946353,"esophagus","esophagus_squamous","","","Male","RIKEN",2,-4.735132693,"Adherent","RPMI; 10% FBS","8.7","CVCL_1767","pleural_effusion","Metastasis","Esophageal Cancer","Squamous Cell Carcinoma",NA,"SIDM00325","",3.80628947368421
"ACH-000695","CORL47","CORL47_LUNG","",NA,"lung","SCLC","","","Male","ECACC",1,-2.187672554,"Suspension","RPMI-1640: 10%FBS; 2mMGlutamax-1","39.7","CVCL_2415","bone_marrow","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",67,"","",2.55963157894737
"ACH-000696","OVCAR8","OVCAR8_OVARY","",905991,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","NCI/DCTD",3,-5.062758153,"Adherent","RPMI; 10% FBS","39.8","CVCL_1629","ovary","Primary","Ovarian Cancer","Adenocarcinoma, high grade serous",64,"SIDM00090","",2.49557894736842
"ACH-000697","A3KAW","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",910935,"lymphocyte","non_hodgkin_lymphoma","DLBCL","","Female","HSRRB",2,-3.100243973,"Suspension","RPMI;10% FBS;","28.2","CVCL_1062","ascites","Primary","Lymphoma","Diffuse Large B-cell Lymphoma (DLBCL)",NA,"SIDM00495","",2.7275
"ACH-000698","DMS53","DMS53_LUNG","",907295,"lung","SCLC","","","Male","ATCC",3,-4.251068303,"Adherent","RPMI; 10% FBS","25","CVCL_1177","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",54,"SIDM00523","",2.98642105263158
"ACH-000699","HCC1395","HCC1395_BREAST","",749712,"breast","breast_ductal_carcinoma","ERneg_HER2neg","basal_B","Female","ATCC",3,-5.133974263,"Adherent","RPMI; 10% FBS","52.6","CVCL_1249","breast","Primary","Breast Cancer","Breast Ductal Carcinoma",43,"SIDM00884","",3.57381578947368
"ACH-000700","NCIH2882","NCIH2882_LUNG","NCI-H2882",NA,"lung","NSCLC","NSCLC_squamous","","Female","Academic lab",2,-1.93510732,"Adherent","RPMI; 10% FBS","14.3","CVCL_5158","lung","","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",NA,"","",3.08573684210526
"ACH-000701","RMUGS","RMUGS_OVARY","",NA,"ovary","ovary_adenocarcinoma","mucinous","","Female","HSRRB",2,-2.748317485,"Adherent","HamsF12; 10% FBS","35.3","CVCL_3158","ovary","Primary","Ovarian Cancer","Cystadenocarcinoma, mucinous",62,"","",2.86081578947368
"ACH-000702","L1236","L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330935,"lymphocyte","hodgkin_lymphoma","","","Male","DSMZ",2,-4.46100868,"","","6.7","CVCL_2096","haematopoietic_and_lymphoid_tissue","","Lymphoma","B-cell, Hodgkins",34,"SIDM00313","",4.54315789473684
"ACH-000703","DMS79","DMS79_LUNG","",753551,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1178","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",65,"SIDM00524","",3.22421052631579
"ACH-000704","OAW42","OAW42_OVARY","",910548,"ovary","ovary_carcinoma","","","Female","ECACC",NA,NA,"","","","CVCL_1615","ascites","Metastasis","Ovarian Cancer","Carcinoma",NA,"SIDM00480","",2.87802631578947
"ACH-000705","LC1F","LC1F_LUNG","LC-1/sq-SF",NA,"lung","NSCLC","NSCLC_squamous","","Male","RIKEN",NA,NA,"","","","CVCL_1372","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",69,"SIDM00298","",2.85776315789474
"ACH-000706","EKVX","EKVX_LUNG","",905970,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","Academic lab",2,-4.993004424,"Adherent","RPMI-1640: 90.0%","17.7","CVCL_1195","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00119","",2.45502631578947
"ACH-000707","P3HR1","P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"lymphocyte","non_hodgkin_lymphoma","b_cell_burkitt","","Male","ATCC",NA,NA,"","","","CVCL_2676","ascites","","Lymphoma","B-cell, Non-Hodgkins, Burkitts",7,"SIDM01254","",2.73228947368421
"ACH-000708","SNU283","SNU283_LARGE_INTESTINE","",1659929,"colorectal","colorectal_adenocarcinoma","","","Female","KCLB",NA,NA,"","","","CVCL_5044","abdomen","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",62,"SIDM00215","",2.73842105263158
"ACH-000709","KMRC2","KMRC2_KIDNEY","",NA,"kidney","renal_cell_carcinoma","clear_cell","","Male","HSRRB",NA,NA,"","","","CVCL_2984","kidney","Primary","Kidney Cancer","Renal Carcinoma, clear cell",NA,"","",2.65192105263158
"ACH-000710","NCIH854","NCIH854_LUNG","",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","KCLB",NA,NA,"","","","CVCL_A584","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"","",1.98489473684211
"ACH-000711","JIMT1","JIMT1_BREAST","",1298157,"breast","breast_ductal_carcinoma","ERneg_HER2pos","basal_A","Female","DSMZ",3,-6.461418292,"Adherent","RPMI; 10% FBS","4.5","CVCL_2077","pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma",62,"SIDM01037","",3.66286842105263
"ACH-000712","HCC1833","HCC1833_LUNG","",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","KCLB",NA,NA,"","","","CVCL_5129","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",69,"","",2.57592105263158
"ACH-000713","CAOV3","CAOV3_OVARY","",906825,"ovary","ovary_adenocarcinoma","high_grade_serous","","Female","ATCC",3,-2.503625768,"Adherent","DMEM; 10% FBS","22.6","CVCL_0201","ovary","Primary","Ovarian Cancer","Adenocarcinoma, high grade serous",54,"SIDM00919","",4.50568421052632
"ACH-000714","KMS11","KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1659817,"plasma_cell","multiple_myeloma","","","Female","HSRRB",1,-2.759120466,"Suspension","RPMI; 10% FBS","3.9","CVCL_2989","pleural_effusion","Primary","Myeloma","Multiple Myeloma",67,"SIDM00608","",3.64878947368421
"ACH-000715","SNU1214","SNU1214_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","laryngeal","","Male","KCLB",NA,NA,"","","","CVCL_5017","upper_aerodigestive_tract","","Head and Neck Cancer","Squamous Cell Carcinoma, laryngeal",55,"SIDM00167","",4.62784210526316
"ACH-000716","TT2609C02","TT2609C02_THYROID","",1240223,"thyroid","thyroid_carcinoma","follicular","","Male","DSMZ",NA,NA,"","","","CVCL_2218","thyroid","","Thyroid Cancer","Carcinoma, follicular",57,"SIDM00418","",4.33131578947368
"ACH-000717","COLO680N","COLO680N_OESOPHAGUS","",906817,"esophagus","esophagus_squamous","","","Female","DSMZ",NA,NA,"","","","CVCL_1131","oesophagus","","Esophageal Cancer","Squamous Cell Carcinoma",57,"SIDM00956","",4.10536842105263
"ACH-000718","NCIH2291","NCIH2291_LUNG","",724874,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",3,-3.754567386,"Adherent","RPMI; 10% FBS","29.7","CVCL_1546","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00728","",3.8505
"ACH-000719","RMGI","RMGI_OVARY","",909699,"ovary","ovary_adenocarcinoma","clear_cell","","Female","HSRRB",2,-3.745366997,"Adherent","RPMI; 10% FBS","41.7","CVCL_1662","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, clear cell",34,"SIDM00352","",2.02357894736842
"ACH-000720","TCCSUP","TCCSUP_URINARY_TRACT","",687459,"urinary_tract","bladder_carcinoma","bladder_transitional_cell","","Female","ATCC",2,-4.766111185,"Adherent","EMEM; 10% FBS; 1mM NEAA; 1mM Sodium Pyruvate","19.1","CVCL_1738","urinary_tract","Primary","Bladder Cancer","Transitional Cell Carcinoma",67,"SIDM01190","",4.80165789473684
"ACH-000721","HMC18","HMC18_BREAST","",NA,"breast","breast_carcinoma","ERneg_HER2neg","basal_B","Female","HSRRB",2,-4.52683345,"Adherent","RPMI-1640: 10%FBS","3.4","CVCL_2949","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",35,"","",2.12771052631579
"ACH-000722","SNUC1","SNUC1_LARGE_INTESTINE","",910905,"colorectal","colorectal_adenocarcinoma","","","Male","ATCC",NA,NA,"","","","CVCL_1708","abdomen","Metastasis","Colon/Colorectal Cancer","Adenocarcinoma",71,"SIDM01197","",2.24178947368421
"ACH-000723","YD10B","YD10B_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","tongue","","Male","KCLB",NA,NA,"","","","CVCL_8929","upper_aerodigestive_tract","","Head and Neck Cancer","Squamous Cell Carcinoma, tongue",67,"","",4.58073684210526
"ACH-000724","HT1376","HT1376_URINARY_TRACT","",907066,"urinary_tract","bladder_carcinoma","","","Female","ATCC",2,-2.69945809,"Adherent","EMEM; 10% FBS","48.6","CVCL_1292","urinary_tract","Primary","Bladder Cancer","Carcinoma",58,"SIDM00678","",4.42902631578947
"ACH-000725","HCC202","HCC202_BREAST","",1290906,"breast","breast_ductal_carcinoma","ERneg_HER2pos","HER2_amp","Female","ATCC",2,-2.996943105,"Adherent","RPMI; 10% FBS","16.8","CVCL_2062","breast","Primary","Breast Cancer","Breast Ductal Carcinoma",82,"SIDM00870","",3.82936842105263
"ACH-000726","TE14","TE14_OESOPHAGUS","",NA,"esophagus","esophagus_squamous","","","Male","RIKEN",NA,NA,"","","","CVCL_3336","oesophagus","","Esophageal Cancer","Squamous Cell Carcinoma",NA,"","",3.76226315789474
"ACH-000727","NCIH2066","NCIH2066_LUNG","",1330973,"lung","SCLC","","","Female","ATCC",NA,NA,"","","","CVCL_1520","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",70,"SIDM00711","",2.26136842105263
"ACH-000728","KASUMI2","KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"blood","ALL","b_cell","","Male","DSMZ",NA,NA,"","","","CVCL_0590","bone_marrow","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",15,"","",3.70952631578947
"ACH-000729","NCIH1963","NCIH1963_LUNG","H1963",688010,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1510","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",56,"SIDM00760","",2.36715789473684
"ACH-000730","SKMEL5","SKMEL5_SKIN","",905956,"skin","melanoma","","","Female","ATCC",NA,NA,"","","","CVCL_0527","lymph_node","Metastasis","Skin Cancer","Melanoma",24,"SIDM00080","",2.90821052631579
"ACH-000731","HCC2279","HCC2279_LUNG","",NA,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","KCLB",NA,NA,"","","","CVCL_5131","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",52,"","",4.38513157894737
"ACH-000732","PECAPJ41CLONED2","PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","oral","","Female","ECACC",2,-2.721046832,"Adherent","Iscove (IMDM): 90.0%, GLUTAMAX","14","CVCL_2680","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, oral",67,"","",5.00089473684211
"ACH-000733","NCIH1838","NCIH1838_LUNG","",687807,"lung","NSCLC","NSCLC_adenocarcinoma","","Female","ATCC",NA,NA,"","","","CVCL_1499","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00769","",3.06526315789474
"ACH-000734","JHH5","JHH5_LIVER","",NA,"liver","hepatocellular_carcinoma","","","Male","HSRRB",3,-4.741744157,"Adherent","William's E Medium: 90.0%","25.1","CVCL_0364","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",50,"","",2.60352631578947
"ACH-000735","PECAPJ49","PECAPJ49_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","oral","","Male","ECACC",2,-4.982903803,"Adherent","IMDM; 10% FBS;2mM Glutamine","7.9","CVCL_2681","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, oral",57,"","",4.0303947368421
"ACH-000736","SNU601","SNU601_STOMACH","",NA,"gastric","gastric_adenocarcinoma","signet_ring_cell","","Male","KCLB",2,-3.558780534,"Adherent","RPMI-1640; 10%FBS","7.7","CVCL_0101","ascites","Metastasis","Gastric Cancer","Adenocarcinoma, signet ring cell",34,"","",4.42486842105263
"ACH-000737","NCIH1385","NCIH1385_LUNG","",NA,"lung","NSCLC","NSCLC_squamous","","Female","ATCC",NA,NA,"","","","CVCL_1466","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",NA,"","",2.21234210526316
"ACH-000738","GB1","GB1_CENTRAL_NERVOUS_SYSTEM","",687568,"central_nervous_system","glioma","glioblastoma","","Male","HSRRB",2,-4.776891613,"Adherent","EMEM; 10% FBS","11","CVCL_1227","central_nervous_system","Primary","Brain Cancer","Glioblastoma",35,"SIDM00581","",3.17907894736842
"ACH-000739","HEPG2","HEPG2_LIVER","",NA,"liver","hepatocellular_carcinoma","","","Male","ATCC",2,-3.304828239,"Adherent","EMEM 10% FBS","15.9","CVCL_0027","liver","Primary","Liver Cancer","Hepatocellular Carcinoma",15,"SIDM00904","",2.45642105263158
"ACH-000740","A253","A253_SALIVARY_GLAND","",906794,"upper_aerodigestive","upper_aerodigestive_squamous","salivary_gland","","Male","ATCC",2,-3.854005864,"Adherent","M10","8.4","CVCL_1060","upper_aerodigestive_tract","Primary","Head and Neck Cancer","Squamous Cell Carcinoma, salivary gland",54,"SIDM00796","",3.86892105263158
"ACH-000741","UBLC1","UBLC1_URINARY_TRACT","",NA,"urinary_tract","bladder_carcinoma","bladder_transitional_cell","","Female","ECACC",NA,NA,"","","","CVCL_2738","urinary_tract","Primary","Bladder Cancer","Transitional Cell Carcinoma",NA,"","",3.52239473684211
"ACH-000742","DM3","DM3_FIBROBLAST","",NA,"fibroblast","fibroblast_lung","","","Male","DSMZ",NA,NA,"","","","CVCL_2019","fibroblast","","Fibroblast","Lung",62,"","",2.83939473684211
"ACH-000743","CORL95","CORL95_LUNG","",1297439,"lung","SCLC","","","Male","ECACC",NA,NA,"","","","CVCL_2418","lung","Primary","Lung Cancer","Small Cell Lung Cancer (SCLC)",64,"SIDM00521","",3.09905263157895
"ACH-000744","NCIH1623","NCIH1623_LUNG","",687798,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",NA,NA,"","","","CVCL_1481","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",58,"SIDM00747","",2.79489473684211
"ACH-000745","MOLP8","MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330950,"plasma_cell","multiple_myeloma","","","Male","DSMZ",NA,NA,"","","","CVCL_2124","haematopoietic_and_lymphoid_tissue","Primary","Myeloma","Multiple Myeloma",52,"SIDM00434","",3.06918421052632
"ACH-000746","GSS","GSS_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Male","RIKEN",2,-3.05520843,"Suspension","RPMI-1640; 10%FBS","12.1","CVCL_8876","liver","Metastasis","Gastric Cancer","Adenocarcinoma",75,"","",2.30536842105263
"ACH-000747","NCIH1703","NCIH1703_LUNG","",908474,"lung","NSCLC","NSCLC_squamous","","Male","ATCC",2,-4.336674104,"Adherent","RPMI-1640: 10% FBS","9","CVCL_1490","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",54,"SIDM00740","",2.76905263157895
"ACH-000748","SJSA1","SJSA1_BONE","",909717,"bone","osteosarcoma","","","Male","ATCC",1,-4.502295034,"Adherent","RPMI; 10% FBS","44.7","CVCL_1697","bone","Primary","Bone Cancer","Osteosarcoma",19,"SIDM01112","",3.21802631578947
"ACH-000749","DMS273","DMS273_LUNG","",687985,"lung","SCLC","","","Female","ECACC",NA,NA,"","","","CVCL_1176","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",50,"SIDM00522","",2.27294736842105
"ACH-000750","LOXIMVI","LOXIMVI_SKIN","",905974,"skin","melanoma","","","Male","NCI/DCTD",0,-0.3000378256,"","","","CVCL_1381","lymph_node","Metastasis","Skin Cancer","Melanoma",58,"SIDM00149","",3.00797368421053
"ACH-000751","OCIM1","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330985,"blood","AML","M6","","Unknown","DSMZ",0,-0.7044249658,"","","","CVCL_2149","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",62,"SIDM00458","",4.85107894736842
"ACH-000752","NCIH196","NCIH196_LUNG","",1240186,"lung","SCLC","","","Male","ATCC",NA,NA,"","","","CVCL_1509","pleural_effusion","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",68,"SIDM00761","",4.06552631578947
"ACH-000753","JMSU1","JMSU1_URINARY_TRACT","",NA,"urinary_tract","bladder_carcinoma","","","Male","DSMZ",2,-5.834745979,"Adherent","RPMI-1640: 10%FBS; 2mMGlutamax-1","55","CVCL_2081","ascites","Metastasis","Bladder Cancer","Carcinoma",75,"","",3.04055263157895
"ACH-000754","L428","L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907322,"lymphocyte","hodgkin_lymphoma","","","Female","DSMZ",NA,NA,"","","","CVCL_1361","pleural_effusion","","Lymphoma","B-cell, Hodgkins",37,"SIDM00327","",4.15994736842105
"ACH-000755","HCC2218","HCC2218_BREAST","",749716,"breast","breast_ductal_carcinoma","ERneg_HER2pos","HER2_amp","Female","ATCC",NA,NA,"","","","CVCL_1263","breast","Primary","Breast Cancer","Breast Ductal Carcinoma",38,"SIDM00772","",2.55413157894737
"ACH-000756","GI1","GI1_CENTRAL_NERVOUS_SYSTEM","",906871,"central_nervous_system","glioma","glioblastoma","","Male","RIKEN",1,-3.671040518,"Adherent","DMEM: 90.0%","4.1","CVCL_1231","central_nervous_system","Primary","Brain Cancer","Glioblastoma",61,"SIDM00273","",2.25813157894737
"ACH-000757","A427","A427_LUNG","",910851,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","Academic lab",3,-2.801712298,"Adherent","DMEM with 10%FBS","33.7","CVCL_1055","lung","","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00810","",3.23110526315789
"ACH-000758","MKN74","MKN74_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Male","HSRRB",2,-3.914975945,"Adherent","RPMI-1640: 90.0%,10%FBS","7.3","CVCL_2791","liver","Metastasis","Gastric Cancer","Adenocarcinoma",37,"SIDM00248","",5.74318421052632
"ACH-000759","MDAMB175VII","MDAMB175VII_BREAST","",908120,"breast","breast_ductal_carcinoma","ERpos_HER2neg","HER2_amp","Female","ATCC",NA,NA,"","","","CVCL_1400","pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma",56,"SIDM00633","",3.21684210526316
"ACH-000760","LNZ308","LNZ308_CENTRAL_NERVOUS_SYSTEM","",NA,"central_nervous_system","glioma","glioblastoma","","Unknown","Academic lab",2,-5.056673776,"Adherent","DMEM; 10% FBS","10.2","CVCL_0394","central_nervous_system","","Brain Cancer","Glioblastoma",NA,"SIDM00682","",2.87086842105263
"ACH-000761","NUGC2","NUGC2_STOMACH","",NA,"gastric","gastric_adenocarcinoma","","","Female","HSRRB",NA,NA,"","","","CVCL_1611","lymph_node","Metastasis","Gastric Cancer","Adenocarcinoma",56,"","",5.35018421052632
"ACH-000762","YD38","YD38_UPPER_AERODIGESTIVE_TRACT","",NA,"upper_aerodigestive","upper_aerodigestive_squamous","","","Male","KCLB",2,-3.421062483,"Adherent","RPMI-1640; 10%FBS","16.1","CVCL_L083","upper_aerodigestive_tract","","Head and Neck Cancer","Squamous Cell Carcinoma",67,"","",3.85602631578947
"ACH-000763","MM1S","MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1659818,"plasma_cell","multiple_myeloma","","","Female","Academic lab",2,-2.802760252,"Semi-adherent","RPMI; 10% FBS","6.9","CVCL_8792","haematopoietic_and_lymphoid_tissue","Primary","Myeloma","Multiple Myeloma",NA,"SIDM01265","",3.56394736842105
"ACH-000764","SH10TC","SH10TC_STOMACH","",NA,"gastric","gastric_adenocarcinoma","mucinous","","Unknown","RIKEN",2,-2.830755611,"Adherent","RPMI-1640: 10%FBS","29.1","CVCL_5167","stomach","Primary","Gastric Cancer","Adenocarcinoma, mucinous",NA,"","",2.75042105263158
"ACH-000765","WM983B","WM983B_SKIN","",NA,"skin","melanoma","","","Male","Academic lab",2,-4.029811325,"Adherent","RPMI-1640: 10%FBS","13.1","CVCL_6809","lymph_node","Metastasis","Skin Cancer","Melanoma",NA,"","",3.40607894736842
"ACH-000766","NCIH1648","NCIH1648_LUNG","",687799,"lung","NSCLC","NSCLC_adenocarcinoma","","Male","ATCC",4,-3.822289562,"Adherent","RPMI; 10% FBS","12.1","CVCL_1482","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,"SIDM00746","",4.74694736842105
"ACH-000767","NCIH526","NCIH526_LUNG","",688025,"lung","SCLC","","","Male","ATCC",2,-3.009066672,"Suspension","RPMI; 10% FBS","22.4","CVCL_1569","bone_marrow","Metastasis","Lung Cancer","Small Cell Lung Cancer (SCLC)",55,"SIDM01128","",2.62434210526316
"ACH-000768","MDAMB231","MDAMB231_BREAST","",905960,"breast","breast_carcinoma","ERneg_HER2neg","basal_B","Female","ATCC",2,-3.839520642,"Adherent","RPMI; 10% FBS","9","CVCL_0062","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",51,"SIDM00146","",3.99502631578947
"ACH-000769","LK2","LK2_LUNG","",687787,"lung","NSCLC","NSCLC_squamous","","Male","RIKEN",3,-3.827345932,"Adherent","DMEM; 10% FBS;","18.5","CVCL_1377","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",NA,"SIDM00548","",2.21355263157895
